id,text,valence,arousal,dominance,split,source
Seedbombing_4949_5056,I used to see this old scary dude walking around checking the trees in Griffith Park for Dutch Elm Disease.,-0.125,0.06,-0.06,train,EmoBank
wsj_0120_1073_1128,PHOTOGRAPH COLLECTING gains new stature as prices rise.,0.145,0.07,0.145,train,EmoBank
captured_moments_18094_18151,I am never so quick-witted in person as I am on the page.,-0.065,0.06,0.0,train,EmoBank
SemEval_34,Martian Life Could Have Evaded Detection by Viking Landers,0.0,-0.135,0.09,train,EmoBank
113CWL018_1344_1363,A United Way Agency,0.055,-0.165,0.0,train,EmoBank
Fermentation_Eminent-Domain_6660_6699,I support the new labeling requirement.,0.165,0.0,0.22,train,EmoBank
Ohio_Steel_19654_19778,"What happened in Youngstown may not seem significant on an international or even on a national level, and perhaps it is not.",-0.05,-0.05,0.05,train,EmoBank
20020731-nyt_9106_9313,"U.S. Secretary of State Colin Powell arrived here on Tuesday night for meetings with fellow foreign ministers aimed at solidifying a second front, in Southeast Asia, in the campaign against global terrorism.",0.055,-0.055,0.0,train,EmoBank
wwf12_1983_2401,"So in addition to our efforts to conserve wildlife preserves, we’ll escalate our trailblazing program to find alternatives for traditional tiger-based medicines ... rescue more rhinos in Kenya and Nepal through our ambitious translocation projects ... complete the first survey of China’s pandas in over a decade ... and fight to halt all commercial whaling, as well as the whale meat trade.",0.125,0.125,0.19,train,EmoBank
Uprooted_Bike_4736_4798,"Tell the store owner what you like, and see if he'll carry it.",0.055,0.055,0.165,train,EmoBank
wsj_0187_1629_1706,Waertsilae Marine's bankruptcy proceedings began Tuesday in a Helsinki court.,-0.05,-0.05,0.0,train,EmoBank
Fermentation_Eminent-Domain_11222_11318,There are many reasons why the new labeling requirement makes sense from all these perspectives.,0.09,-0.18,0.09,train,EmoBank
Uprooted_Farming-on-Sand_728_819,"He runs the Rock Spray nursery, a Certified Natural provider of evergreens and ornamentals.",0.0,-0.15,0.05,train,EmoBank
warner1_2056_2069,No contracts.,-0.05,-0.15,-0.1,train,EmoBank
Nathans_Bylichka_26029_26110,"“No, thank you,” said Nepthys, “we regret that we cannot take up your kind offer.",-0.25,-0.05,0.0,train,EmoBank
Tupelo-Honey-Cafe_957_976,tupelohoneycafe.com,-0.05,-0.25,-0.05,train,EmoBank
sucker_1739_1918,"The end result of such roundtables, one can only fear, could be that the only books depicting people of color that get published are those that do not challenge white assumptions.",-0.31,0.0,-0.06,train,EmoBank
Seedbombing_2673_2744,"Seedbombing is a hit-or-miss way for change to take root, pun intended.",0.0,-0.05,0.0,train,EmoBank
SemEval_629,Participant in water-drinking contest dies,-0.6,0.05,-0.3,train,EmoBank
The_Black_Willow_2023_2197,The papers and the lantern's flame trembled as the thin fingers of a great black willow rapped gently on Allan's window and wall like a stranger knocking on his chamber door.,-0.11,0.165,-0.11,train,EmoBank
captured_moments_17615_17622,"""What?""",-0.1,0.2,-0.05,train,EmoBank
Madame_White_Snake_3192_3300,"In both incarnations of Madame White snake, the authors depict her as bewitchingly beautiful.",0.125,0.19,0.06,train,EmoBank
NYTnewswire2_8049_8145,"She also apologized for not calling to thank him earlier, but that Gailhaguet had forbidden her.",-0.05,-0.05,-0.1,train,EmoBank
SemEval_49,Bread-Heavy Diet Linked to Kidney Cancer,-0.2,-0.05,-0.15,train,EmoBank
Nathans_Bylichka_6652_6942,"The church was completely different now: sunlight fell through the stained glass, catching dust that still hung in the air and sending a dry, healthy warmth into the edges of the room, through the stone and the powdery concrete that had been covered last night by flesh and flashing lights.",0.05,-0.1,0.0,train,EmoBank
easy_money_7759_7815,He looked hurt and rapped on the ground with his finger.,-0.43,0.145,-0.145,train,EmoBank
NYTnewswire3_4994_5218,"Because each of the hundreds of processing machines is self-enclosed, and essentially airtight, the uniforms operators wear are less constricting than in the previous generation of chip plants, which looked like space suits.",0.085,-0.165,0.0,train,EmoBank
IntroDublin_465_551,Prosperity is in the air; the roar of the “Celtic Tiger” can clearly be heard.,0.19,0.19,0.25,train,EmoBank
WhatToHongKong_4598_4714,Hong Kong is no longer a factory outlet center since much of its clothing manufacturing has moved elsewhere.,-0.1,-0.05,0.1,train,EmoBank
blog-new-year's-resolutions_2526_2537,The studies,0.0,-0.1,0.0,train,EmoBank
118CWL049_1513_1652,"This includes a volunteer screening process, orientation, training and ongoing supervision and support by a professional staff.",0.045,-0.135,0.09,train,EmoBank
Ant_Robot_1686_1920,"The ants forage for more than 30 different varieties of seeds, many of which do not grow in the desert (Gordon, 54), where only a few varieties of small shrubs, small herbaceous flowering plants and short grasses do grow (Gordon, 51).",0.05,-0.1,0.15,train,EmoBank
NYTnewswire2_1206_1435,"The Russian team of Yelena Berezhnaya and Anton Sikharulidze narrowly won the gold medal over the Canadians Jamie Sale and David Pelletier, who were later awarded a duplicate gold medal because of the ensuing judging controversy.",-0.15,0.2,-0.2,train,EmoBank
A_defense_of_Michael_Moore_6_60,"A defense of Michael Moore and ""Bowling for Columbine""",-0.1,-0.1,-0.15,train,EmoBank
NWF1_4559_4637,Your gift is needed now to support these critical projects and so many others.,0.0,0.1,0.05,train,EmoBank
Nathans_Bylichka_23835_23918,Now: may we ask you a few questions about an individual we believe to be a vampire?,-0.225,0.275,-0.225,train,EmoBank
wsj_0158_595_708,"In a telephone interview, Mr. Reupke said his departure was for ""personal reasons,"" which he declined to specify.",-0.2,-0.1,0.0,train,EmoBank
hotel-california_11801_11839,Fact: It's easy to fall into patterns.,-0.06,0.0,0.0,train,EmoBank
20020731-nyt_27765_27974,"But in 1933, President Franklin D. Roosevelt took the United States off the gold standard, and ordered all the 1933 saints already manufactured destroyed, save for two reserved for the Smithsonian Institution.",-0.1,-0.05,0.1,train,EmoBank
Nathans_Bylichka_17606_17679,He took out the hunchback’s directions and glanced at an alley behind us.,-0.06,-0.185,-0.125,train,EmoBank
SemEval_1367,U.S. commander: Iraq not hopeless,0.15,0.1,0.1,train,EmoBank
SemEval_525,US Airways boosts bid for Delta,0.05,0.05,0.1,train,EmoBank
hotel-california_21818_21847,"Some vital part broke, and...",-0.35,0.15,-0.25,train,EmoBank
Nathans_Bylichka_31509_31531,He thought about that.,0.0,-0.11,0.0,train,EmoBank
Nathans_Bylichka_40157_40312,"Nepthys lead us down a hallway that matched the building’s façade, a vaulted, ribbed intestine of a hallway, whose black walls looked unsettlingly organic.",0.0,0.05,0.05,train,EmoBank
The_Black_Willow_10749_10795,"I would not be happy, thus separated from it.""",-0.4,0.1,-0.1,train,EmoBank
hotel-california_15312_15364,"“Maybe the universe will end sooner than you think,”",-0.25,0.0,-0.06,train,EmoBank
114CUL060_976_1129,The best indicator I can give you of the positive effect our year-round contact has is the growth in and deeds of the Youth Leadership teens.,0.25,0.15,0.2,train,EmoBank
A_defense_of_Michael_Moore_24594_24739,"If these causes were addressed, gun ownership in the United States would not be a problem (but also unnecessary); just like it is in Switzerland.",-0.05,0.0,0.1,train,EmoBank
blog-monastery_2298_2336,"""Only if you feel no regret,"" he said.",0.0,0.0,0.0,train,EmoBank
NYTnewswire9_2597_2688,Karnes has never spoken publicly about his role as Tibbets' right-hand administrative aide.,0.0,-0.05,-0.05,train,EmoBank
Nathans_Bylichka_37524_37677,"The vendor stared a little at Amy, his arms pausing in midair as he lit the stand’s little lamp, but we walked right around him and up the wooden stairs.",-0.15,-0.1,0.1,train,EmoBank
SemEval_826,"For women, nothing's like the smell of men's sweat",0.1,0.05,0.0,train,EmoBank
NWF1_480_629,The wrapping paper and matching gift cards feature delightful holiday wildlife images that will come in handy for wrapping your last minute presents.,0.44,0.31,0.25,train,EmoBank
Nathans_Bylichka_21796_21808,“Thank you.”,0.45,0.05,0.1,train,EmoBank
guidedogs1_2381_2582,"“I had never had a pet. Having Aries just makes life so much easier. For one thing, people are nicer to you. People love dogs. They can relate to him and feel they have something to talk to you about.”",0.2,0.05,0.05,train,EmoBank
WhereToHongKong_41418_41532,"Gambling provides almost 40 percent of the government’s tax revenues, and is a major source of employment.",0.0,-0.1,-0.1,train,EmoBank
NYTnewswire9_3036_3096,Next week marks the 57th anniversary of the atomic bombings.,-0.05,-0.1,0.05,train,EmoBank
Nathans_Bylichka_36586_36605,‘What did you say?’,0.0,0.1,0.0,train,EmoBank
Nathans_Bylichka_44413_44468,I hope that you can do a better job than the last lot.”,-0.2,0.2,0.05,train,EmoBank
Nathans_Bylichka_57118_57175,I felt my head turn and something in my neck reconnected.,0.1,-0.05,0.0,train,EmoBank
audubon2_3696_3790,Think of all the ways everyone in your household will benefit from your membership in Audubon.,0.11,0.11,0.28,train,EmoBank
SemEval_831,Mancuso sparks U.S. celebrations,0.23,0.135,0.09,train,EmoBank
SemEval_653,The energy challenge | Exotic visions: how to cool a planet (maybe),0.05,0.05,0.0,train,EmoBank
guidedogs1_1577_1651,It’s the special bond — of a loving and working 24 hour a day partnership.,0.25,0.19,0.125,train,EmoBank
Ohio_Steel_10791_10967,"However, to American companies already suffering financial setbacks, outdated machinery, and fierce competition, this lack of demand was an inconvenience they could not afford.",-0.35,0.05,-0.1,train,EmoBank
115CVL035_1342_1444,The Summer Enrichment Program will conclude with a celebration that includes family and friends.,0.125,0.06,0.0,train,EmoBank
Bartok_9409_9632,"This relationship is somewhat obscured by measures 51-57 however; while there is no clear tonal center for this section, G appears in the outer voices in measure 51, although the harmonic material is reminiscent of C minor.",0.0,-0.165,0.0,train,EmoBank
Nathans_Bylichka_12551_12560,What up?”,0.055,0.055,0.055,train,EmoBank
The_Black_Willow_8867_8961,"""I had a hunch you'd be at Arthur's today,"" said Nathan, ""so I thought I'd wait here for you.""",0.1,0.05,0.0,train,EmoBank
appalachian1_8942_9025,Please join us in enjoying and protecting our special corner of planet Earth today.,0.2,0.0,0.1,train,EmoBank
SemEval_830,Woman dies after water binge,-0.43,-0.145,-0.14,train,EmoBank
hotel-california_15224_15283,"“Impossible,” said Zheng, sitting in the chair to her left.",0.0,-0.05,0.1,train,EmoBank
hotel-california_28090_28330,"In one hand I balanced my plate of star-shaped crackers, globs of elegant dips and garnishes, little rolled balls of meats and cheeses stabbed through with spears of some pale green plant, and an array of other delectable, bite-sized items.",0.2,0.05,0.15,train,EmoBank
easy_money_7695_7749,"""So you drew this?"" I asked vaguely, slow to catch on.",-0.165,-0.055,-0.22,train,EmoBank
detroit_2597_2725,"Even in Chicago's South Side, where we counted five white people in an hour, I felt fine just driving around; not so in Detroit.",-0.2,0.1,0.0,train,EmoBank
hotel-california_32662_32683,“Mind if I join you?”,0.05,0.05,-0.1,train,EmoBank
wwf12_702_921,"In fact, I want to urge you to strengthen your dedication to saving life on Earth — by sending a generous leadership gift of $750 and becoming a member of World Wildlife Funds prestigious Living Planet Society.",0.165,0.22,0.22,train,EmoBank
WhereToHongKong_41727_41764,The 40-mile trip takes about an hour.,0.085,-0.165,0.165,train,EmoBank
NYTnewswire4_2831_2914,"But he said promotional material such as posters and CD-ROMs can be ""embarrassing.""",-0.06,-0.125,-0.125,train,EmoBank
Nathans_Bylichka_39715_39725,“A Forest”,0.0,-0.05,-0.05,train,EmoBank
WhereToHongKong_65394_65511,"Shenzhen is easy to reach — the KCR commuter train runs throughout the day, the trip taking about 40 minutes.",0.1,0.05,0.1,train,EmoBank
Ant_Robot_30278_30411,This object detection process will be activated when the front bump sensor is stimulated or when both sonar detectors are stimulated.,0.05,0.0,0.15,train,EmoBank
Fermentation_Eminent-Domain_5438_5532,I still don't know whose interests are being served by this useless piece of crap legislation.,-0.4,0.2,0.05,train,EmoBank
blog-new-year's-resolutions_5010_5074,Self-efficacy did not have a significant effect on goal-setting.,-0.05,0.0,0.05,train,EmoBank
Nathans_Bylichka_12259_12305,"Someone opened it a crack, then ushered us in.",-0.1,0.05,0.1,train,EmoBank
114CUL058_2041_2136,"After we receive your commitment, we will contact you about picking up your contribution.",0.1,-0.2,0.0,train,EmoBank
Uprooted_Farming-on-Sand_3863_3876,End of story.,-0.06,0.06,0.375,train,EmoBank
Fermentation_Eminent-Domain_8646_8840,"Tom-- I wonder what the response would be in Napa and Sonoma if the vintners in Fresno convinced the state government to require ""California"" be put on all labels of wine made within California?",0.05,-0.2,0.0,train,EmoBank
The_Black_Willow_17802_17945,"Passionate, fiery colors filled the western sky before him, though the sun itself had reached the trees and a few dark clouds circled overhead.",0.2,0.15,0.1,train,EmoBank
20020731-nyt_9418_9646,"In meetings on Tuesday in Malaysia and Singapore before touching down in this oil-producing sultanate for two days of talks with members of the Association of South East Asian Nations, Powell said he repeatedly raised the issue.",-0.05,0.05,0.1,train,EmoBank
WhereToHongKong_15694_15838,"The boats may appear deceptively primitive, but many of them have their own electric generators and all the modern conveniences.",0.055,0.0,0.0,train,EmoBank
Fermentation_HR5034_5514_5526,"""food fight""",0.225,0.135,0.18,train,EmoBank
wsj_0175_793_839,Both sides are in talks to settle the dispute.,0.1,0.1,0.0,train,EmoBank
Nathans_Bylichka_25436_25608,"He took us to the door of a building like a short pagoda that had a sign hanging over it showing a face with hands uplifted, like a saint under G d’s light, and handcuffed.",0.0,0.05,-0.05,train,EmoBank
wsj_0172_280_341,Midwest Financial has $2.3 billion in assets and eight banks.,0.0,0.0,0.11,train,EmoBank
20020731-nyt_28182_28411,"But before these coins came to light, the royal legation of Egypt turned up with one at the Department of the Treasury, and somehow got an official to issue an export license for the coin to enhance the collection of King Farouk.",0.0,-0.165,0.0,train,EmoBank
110CYL072_130_264,Their complaint: the system discourages working because unemployment provides benefits that many entry-level jobs don't include.,-0.2,0.0,-0.1,train,EmoBank
wwf12_3287_3399,"However, I’m confident that by joining together again, we can make exciting progress in the year ahead.",0.25,0.15,0.3,train,EmoBank
Nathans_Bylichka_15098_15112,"“Oh yeah, man.",0.285,-0.07,0.0,train,EmoBank
Nathans_Bylichka_7597_7686,"My girlfriend has disappeared, I don’t even know where to start looking, and I need help!",-0.715,0.5,-0.43,train,EmoBank
easy_money_12000_12039,So what does this have to do with gold?,-0.05,-0.05,0.05,train,EmoBank
Bartok_26079_26300,"By applying our tonal system to music that slips outside of the tonal realm, we not only find the elements of tonality that do remain, but we also pinpoint exactly when and how this music breaks from previous conventions.",0.05,-0.15,0.15,train,EmoBank
easy_money_2739_2752,First person?,0.0,0.0,0.0,train,EmoBank
Black_and_white_11637_12033,"White clothing proved that someone was of a level of society in which they were not forced to work, for the clothing would immediately become soiled if not and thus the reason why women who were the ones to stay at home dressed in all white, while men who were the ones to go out and work wore black, for black did in fact hide stains.",0.05,-0.05,-0.05,train,EmoBank
detroit_16358_16389,"Parker 15. May, 2010 at 6:56 am",0.0,-0.09,0.045,train,EmoBank
anth_essay_4_1306_1704,"Language plays a complex and integral role in the development and redefinition of an identity, particularly when that identity has been oppressed and subsumed by a dominant other for as long as that of the indigenous peoples in Latin America has. In particular I will examine two divergent yet remarkably parallel cases, that of the Maya in Guatemala and the Nasa and Guambiano peoples of Colombia.",0.055,0.165,0.11,train,EmoBank
114CUL060_628_782,"You're last gift of $50.00 helped make it possible for us to provide guidance, encouragement and fun to nearly 400 Indianapolis area children.",0.25,0.15,0.0,train,EmoBank
Black_and_white_9081_9179,The forms stand out clearly; the impeccable construction displays all its boldness.,0.05,-0.05,0.0,train,EmoBank
Bartok_25273_25588,"While we know from his writings that he often composed with a tonal centers and relationships in mind, and that he regularly applied tonal structures and forms to his compositions, by merely glancing at any one of his pieces we can see that tonality as it is understood in the common practice period is not at work.",0.05,0.05,0.05,train,EmoBank
captured_moments_11404_11496,The Tasha in this file is not even the Tasha I loved and thought I knew.,-0.45,0.05,-0.05,train,EmoBank
A_defense_of_Michael_Moore_22679_22760,Never mind that this is all documented on Michael Moore's website about the film.,0.0,-0.1,0.05,train,EmoBank
118CWL050_3196_3320,"This fund will support the goal of having 550 mentoring relationships by the end of 1999 and 1,200 by the end of 2004.",0.1,0.1,0.05,train,EmoBank
A_defense_of_Michael_Moore_21805_21833,8) Taliban and American aid.,0.0,-0.1,-0.1,train,EmoBank
SemEval_980,'Can't do this anymore'? Not Jack,-0.25,0.15,0.2,train,EmoBank
wsj_0124_429_587,"Separately, Citadel posted a third-quarter net loss of $2.3 million, or 68 cents a share, versus net income of $5.3 million, or $1.61 a share, a year earlier.",-0.1,0.0,0.05,train,EmoBank
appalachian1_8314_8415,We have the largest and broadest library of outdoor publications in the Northeast of interest to you.,0.15,0.05,0.1,train,EmoBank
NYTnewswire6_2352_2444,"She thinks it's selfish for people not to make arrangements for their old age in good time.""",-0.28,0.055,0.055,train,EmoBank
NYTnewswire6_8821_9066,"Michael Chabon, author of Pulitzer Prize winner ""The Amazing Adventures of Kavalier & Clay"": ""All I think of when I think of her now is Dan Akroyd pretending to be her (on Saturday Night Live) and chopping his fingers off and bleeding all over.""",-0.055,0.055,0.0,train,EmoBank
Ohio_Steel_3612_3754,"In fact, “More rail cars passed under the Center Street Bridge [a major bridge in Youngstown] per day than any other location in the country.”",0.05,0.0,0.0,train,EmoBank
A_defense_of_Michael_Moore_4299_4354,Americans were gloating over this demented corpse show:,-0.3,0.15,0.05,train,EmoBank
Ohio_Steel_12271_12379,"Marches, speeches, and letter writing were all employed to help stimulate the Campaign and rally the people.",0.1,0.05,0.1,train,EmoBank
118CWL050_2158_2235,"In 1998, Big Sisters served 972 young people through its many programs.",0.165,0.055,0.055,train,EmoBank
IntroDublin_969_1118,"And the old Dublin is with us, too — the irreverent city of wit and charm and that peculiar magic possessed by Ireland and the Irish.",0.2,0.15,0.05,train,EmoBank
IntroDublin_2133_2193,"“ I never go north of the Liffey,” one man remarked.",0.0,-0.1,0.05,train,EmoBank
Bartok_21387_21700,"The following section (measures 363-389) especially brings out the quartal harmonies within the pentatonic set, so much so that B♭ is obscured as tonal center which allows A♭ to emerge as the goal tone of this section—only to be immediately reinterpreted as a leading tone to the A that begins the recapitulation.",0.0,-0.225,0.0,train,EmoBank
NYTnewswire2_2262_2423,"The Italian authorities provided the FBI with information from wiretaps of Tokhtakhounov's home telephone, part of an investigation into his criminal activities.",0.0,-0.045,0.045,train,EmoBank
Ant_Robot_210_220,Background,0.0,-0.2,-0.05,train,EmoBank
hsus4_223_411,Your name -- and the name of The Humane Society of the United States (HSUS) -- are very important to the well-being of all animals because together we can prevent suffering and save lives.,0.11,0.0,0.11,train,EmoBank
WhatToHongKong_18352_18434,"Joe Bananas, 23 Luard Road, is a Wan Chai mainstay for all-night partying.",0.15,0.2,0.1,train,EmoBank
captured_moments_3807_3939,"The rental agent, an attractive N'apulcan named Tasha Cortez, was not mood-sensitive either.",-0.1,-0.05,-0.05,train,EmoBank
detroit_16897_16903,Peace.,0.3,-0.05,0.05,train,EmoBank
20020731-nyt_24556_24835,"In an unprecedented move, the auction proceeds were split by the U.S. Mint and a London coin dealer, Stephen Fenton, who had won that right in court after having been arrested by Secret Service agents for trying to sell the coin in the Waldorf-Astoria Hotel in Manhattan in 1996.",0.0,0.125,0.06,train,EmoBank
SemEval_16,Bad reasons to be good,-0.2,-0.15,-0.05,train,EmoBank
NYTnewswire2_3753_3987,"Maxwell Miller, Le Gougne's lawyer in Salt Lake City, said no evidence of organized crime influence came up in her suspension hearings before the ISU ""I think this situation vindicates the argument that we've made all along,"" he said.",0.0,0.0,0.045,train,EmoBank
115CVL036_1074_1315,"With this in mind, I am asking each one of you to make a personal contribution of $50, $100 or even $1,000 to show that you believe in the work that we do and are willing to support it with both your time and your finances.",0.15,0.15,0.2,train,EmoBank
The_Black_Willow_13707_13709,"?""",0.0,0.0,-0.05,train,EmoBank
Uprooted_Bike_1313_1423,"When Andrew decided to leave town for a few years' schooling in NYC, friends and cohorts took over operations.",0.05,-0.05,0.0,train,EmoBank
WhatToHongKong_7205_7222,Carpets and Rugs.,0.0,-0.125,-0.06,train,EmoBank
hotel-california_2088_2134,The first words they said to me meant nothing.,-0.15,-0.05,-0.05,train,EmoBank
blog-monastery_5363_5373,Never done,-0.21,-0.165,-0.165,train,EmoBank
audubon1_6598_6715,That’s why we’re expanding our network of Audubon Centers to reach children and adults in every corner of the nation.,0.165,0.11,0.22,train,EmoBank
Anti-Terrorist_4282_4370,The moral and religious theories which support terrorism are quite faulty and erroneous.,-0.15,0.05,0.1,train,EmoBank
Nathans_Bylichka_17729_17755,There’s no time to waste.”,0.0,0.1,0.1,train,EmoBank
cable_spool_fort_3696_3783,Pop had given Chad the sideways glance that promised hard labor when they made it home.,-0.1,0.0,-0.15,train,EmoBank
NYTnewswire5_1330_1409,"As it ripens, it gets progressively more bitter due to the quinine it contains.",-0.15,-0.1,-0.1,train,EmoBank
Nathans_Bylichka_23730_23760,"“Please, accept our apologies.",-0.3,-0.25,-0.2,train,EmoBank
WhatToHongKong_20245_20306,"They are very crowded, especially on summer weekends.",-0.05,0.15,0.0,train,EmoBank
captured_moments_10426_10488,I can remember similar things with others.,0.0,0.0,0.06,train,EmoBank
20020731-nyt_25143_25174,"""I am thrilled with the price.""",0.78,0.5,0.39,train,EmoBank
A_defense_of_Michael_Moore_4356_4478,"""They squealed like little piggies too, so you'll have to make do with 'oink, oink, squeeeeeeeallll' for their last words.",-0.05,0.05,0.1,train,EmoBank
Fermentation_HR5034_5550_5708,Better to call the introduction of H.R. 5034 what it is: an attack on the entire alcohol industry and consumers for the sake of protecting wholesaler profits.,-0.125,0.125,0.06,train,EmoBank
20020731-nyt_17241_17272,The Red Sox signed him in 1999.,0.0,-0.125,0.0,train,EmoBank
20020731-nyt_38342_38510,The majority opinion Tuesday said the court would impose higher standards in capital cases when reviewing prosecutors' conduct and possibly ambiguous jury instructions.,0.05,0.05,0.25,train,EmoBank
SemEval_1269,Work starts on Arctic seed vault,0.05,-0.2,0.0,train,EmoBank
Bartok_174_297,"Before beginning an analysis of any piece by Béla Bartók, one must first decide to what degree tonal analysis will be used.",0.0,0.0,0.0,train,EmoBank
hotel-california_6747_6837,"I must have consumed it, too, because later on, the plates and the bottle were both empty.",0.0,0.0,-0.125,train,EmoBank
wsj_0120_4316_4362,"""We're gaining 1,200 new customers each week,""",0.445,0.22,0.39,train,EmoBank
Black_and_white_15404_15803,"This led to the idea of writing = rationality = production that confined images, especially images in color, to the emerging field of “art”, which was understood as an essential activity but one that was essentially unproductive, while it assigned to the two-toned and orderly world of printed paper the role of a daily guide to existence”",0.0,-0.05,0.0,train,EmoBank
hotel-california_29325_29505,"The next time the captain stopped by our group, Tiffany tagging along (pretending that she, too, was a social butterfly who could mingle equally well with everyone), we were ready.",0.0,0.05,0.05,train,EmoBank
SemEval_1185,Japan: Whaling activists 'terrorists',-0.44,0.19,0.25,train,EmoBank
20000415_apw_eng-NEW_1351_1507,The sanctions cannot be lifted until U.N. inspectors certify that Iraq has eliminated its weapons of mass destruction and the means to produce them.,-0.09,0.0,0.135,train,EmoBank
WhereToHongKong_39498_39545,No less impressive were the secular challenges.,0.055,0.11,0.055,train,EmoBank
captured_moments_30692_30723,"Emil asked, ""You're all right?""",-0.1,0.05,-0.05,train,EmoBank
WhereToHongKong_18477_18568,"Though much smaller than Hong Kong Island, Kowloon has almost twice the population.",0.0,-0.165,0.055,train,EmoBank
Uprooted_Bike_5243_5299,"It's cheaper, and much better for the local flora&fauna.",0.15,0.05,0.05,train,EmoBank
captured_moments_36465_36482,I did not listen.,-0.335,0.085,0.25,train,EmoBank
blog-new-year's-resolutions_3681_3741,"When lay theories were assessed first, this result reversed.",0.0,-0.05,0.0,train,EmoBank
20000410_nyt-NEW_568_743,"Iraq has been under economic sanctions since the war ended, which some say have thwarted the country's ability to recover from the devastation of the bombing campaign.",-0.2,0.05,-0.05,train,EmoBank
SemEval_1315,Swingers more common than most think,0.0,0.0,0.0,train,EmoBank
Nathans_Bylichka_36468_36478,"“Name me,”",0.05,0.0,0.3,train,EmoBank
Tupelo-Honey-Cafe_3533_3694,"I can't guarantee it'll work, but I personally will do it againand probably back it up with a stellar review, just like the one I've given the Tupelo Honey Cafe.",0.07,0.07,0.145,train,EmoBank
The_Black_Willow_19052_19147,He turned to regard the pillar still rising behind his house and ran to see what had been done.,-0.15,0.25,-0.05,train,EmoBank
SemEval_1041,Iran reneges on nuclear payments to Russia,-0.07,0.0,0.07,train,EmoBank
hotel-california_21554_21574,How were you found?”,0.1,0.15,0.1,train,EmoBank
WhereToHongKong_66114_66187,"Some places take credit cards, but cash is better for bargaining.",0.15,0.05,0.05,train,EmoBank
NYTnewswire7_6211_6363,"More than 600,000 of the cards and seafood guides have been distributed since 2000, said Jennifer Dianto, Seafood Watch program manager at the aquarium.",0.0,-0.215,0.0,train,EmoBank
SemEval_1372,Petraeus takes command in Iraq,-0.165,0.0,0.22,train,EmoBank
NYTnewswire1_1631_1745,"""From a realistic standpoint, were we going to find an outfielder that pushed one of our outfielders to the bench?",-0.05,0.1,0.05,train,EmoBank
NYTnewswire9_4654_4741,Tibbets quickly returned to Wendover after that first visit to set up his headquarters.,0.045,-0.135,0.09,train,EmoBank
SemEval_960,Panda cub makes her debut,0.1,0.15,0.05,train,EmoBank
WhereToHongKong_44963_45069,The rest of the building and an adjoining college were destroyed in a typhoon-fanned fire in 1835.,-0.1,0.0,0.1,train,EmoBank
HistoryLasVegas_13172_13286,"There was no longer any question: when you wanted some unbridled adult fun, Las Vegas was the place to be.",0.055,0.0,0.055,train,EmoBank
SemEval_991,"Russia plans new ICBMs, nuclear subs",-0.2,0.05,-0.1,train,EmoBank
The_Black_Willow_3755_3831,They took their seats within the car and his driver set the horses trotting.,0.0,-0.05,-0.05,train,EmoBank
The_Black_Willow_20156_20176,But he did not weep.,-0.09,-0.135,0.045,train,EmoBank
